"id_marcas","nombre_marca","id_menú","nombre_menú","Nombre_Producto","Precio_sin_dto","Precio_con_dto","Dto","Dto_Porcentaje"
6,"Martiderm",111,"Cosmética y Belleza","Martiderm The Originals Proteos Hydra Plus SP-30 Ampollas",42.38,36.84,5.54,13.07
14,"Sensilis",111,"Cosmética y Belleza","Sensilis Upgrade Chrono Lift Crema de Día 50ml",45.00,34.50,10.50,23.33
20,"Tropicania",111,"Cosmética y Belleza","Aceite Seco Golden Glow Tropicania 100ml",26.63,20.95,5.68,21.33
13,"Santiveri",333,"Herbolario","Micoxan Immunflu Santiveri 40 Cápsulas",20.90,15.61,5.29,25.31
15,"Skinfy",111,"Cosmética y Belleza","Crema Hidratante Matificante Oily Skin Skinfy 50 ml",14.95,11.10,3.85,25.75
21,"Waterwipes",444,"Infantil","Toallitas Bebé Waterwipes 4x60Uds",19.08,11.05,8.03,42.09
1,"Babe",111,"Cosmética y Belleza","Babe HealthyAging Contorno Ojos y Labios 15ml",16.34,10.25,6.09,37.27
8,"Mustela",111,"Cosmética y Belleza","Mustela Leche Solar Especial Cara SPF 50+ 40 ml",8.30,6.80,1.50,18.07
10,"Nuk",444,"Infantil","Nuk Esponja Vegetal Bebé 2 Unidades",7.26,4.35,2.91,40.08
7,"Mifarma",555,"Higiene y Salud","Gel Hidroalcohólico Higienizante de Manos Mifarma Daily 60ml",3.50,1.75,1.75,50.00
